OOP,GDPpc,Rural,Water,Sanitation,Primary,HCexpend,GenderEquality,Free,VoiceandAccountability,PoliticalStabilityNoViolence,GovernmentEffectiveness,ControlofCorruption,RegulatoryQuality,RuleofLaw
36.270329,8820.211,60.84,98.8,95.3,,8.5848399,11.9,,.10107349,-.60279995,-.81058061,-.37774137,-.26400042,-.48221549
32.266068,9316.2407,60.839,98.9,95.3,,8.7911339,11.9,0,-.02981194,-.50731152,-.59225053,-.35549358,-.16317363,-.41014183
28.632185,9063.3412,60.817,99.1,95.3,,9.8707545,19,0,-.03605013,-.65334237,-.69714206,-.37244028,-.09753215,-.35520998
28.298156,9144.6233,60.774,99.2,95.4,,9.8002584,16.7,0,-.1279735,-.69525176,-.72609079,-.32471052,-.09721798,-.36558923
27.813571,9248.0946,60.709,99.4,95.4,,9.9174816,21.4,0,-.21312638,-.83986068,-.76269132,-.30595174,-.03769441,-.34981075
27.776499,9149.1656,60.622,99.6,95.4,,9.8872234,21.4,0,-.1411536,-.53656828,-.46808168,-.29546753,-.06401461,-.23044868
11.149685,10949.032,45.393,95.5,55.6,105.34915,4.3051091,17,0,.69130957,1.0782976,.72724116,1.2496713,.79147053,.66833001
7.9516141,11111.077,45.159,95.7,56.8,104.88273,4.9412534,11.1,0,.72639912,.88764083,.63959306,.87944502,.663975,.63505733
6.2515353,11486.902,44.927,95.9,58,105.19099,5.6237039,11.1,0,.57401454,1.0562332,.65890658,1.1412668,.67308867,.60388821
5.8884087,12269.478,44.694,96.1,59.2,105.38441,4.9295444,11.1,0,.48919216,.96313643,.51967913,.89554703,.49600998,.5808171
5.2042684,13200.773,44.461,96.2,60.3,104.49403,4.7130855,11.1,0,.482234,.98290342,.59106392,.9416585,.43711397,.61260933
3.8631374,13584.35,44.228,96.4,61.5,104.56766,5.343156,11.1,0,.48493266,.98475385,.55894595,.98775363,.48411256,.65951455
4.1557857,12403.767,43.996,96.6,62.7,106.00608,6.1425017,7.9,0,.42135483,.93197924,.48299327,.91951519,.48444,.65487295
4.4385828,13349.206,43.765,96.8,63.8,,5.6426838,7.9,0,.44205067,.96070755,.46356523,1.0033346,.456155,.66620797
4.8536516,14050.705,43.533,96.8,64,,5.2491624,7.9,0,.39580062,1.0505357,.46195626,.98827791,.50032943,.66502708
5.5258719,14531.006,43.301,96.8,64.3,,5.3069351,7.9,0,.50346333,1.0801303,.43293035,.93010885,.6939624,.66144395
34.830587,11125.384,17.797,94.6,76.4,,7.0251425,8.6,0,.41050828,.00022127,.17972721,.10320915,.31323463,-.40344283
33.185496,11616.801,17.479,94.9,77,,7.1305728,8.6,0,.371802,-.27667502,.06615095,.0528352,.05464214,-.39157152
37.576031,11846.207,17.166,95.3,77.5,,8.1696969,8.6,0,.44594309,-.23157685,-.09933292,-.16998011,.04107427,-.49236339
36.04241,12184.388,16.857,95.6,78.1,,8.4824833,8.8,0,.45346591,-.27774802,-.22990917,-.13755968,-.03350763,-.41307986
34.011028,12800.35,16.552,95.9,78.6,,8.4701972,9,0,.48963833,-.37791523,-.19923079,-.11671358,-.02329052,-.43301421
32.075614,13337.882,16.251,96.3,79.2,,8.2833807,9,0,.51292753,-.29279795,-.09328575,-.02046337,.06518212,-.36839801
32.270794,13175.557,15.956,96.6,79.7,,8.7536473,8.8,0,.48652101,.16436391,-.09565055,-.11678375,.10953667,-.21717072
30.604195,14043.373,15.665,96.9,80.3,,9.0082031,8.6,0,.52973807,.0057122,-.03938113,-.00067958,.16449116,-.00374921
31.341136,14300.741,15.377,97.2,80.8,,8.8976108,8.6,0,.47358727,-.13636902,-.1178522,.14566597,.17712745,-.00589285
30.951568,14323.136,15.099,97.5,81.3,,9.309405,8.6,0,.43194962,.04520362,-.12431694,-.07113729,.09112491,-.11008725
36.981142,10828.841,30.121,99.7,99.9,105.88879,7.581013,26.2,0,.51157749,.14888756,.10879465,-.07107013,.63264132,-.19433782
38.216637,11602.054,29.767,99.6,100,105.12228,7.3133544,26.3,0,.54320627,-.02103994,.19114824,.09873506,.66678876,-.12716486
37.886515,12358.523,29.416,99.6,100,101.21203,7.3068037,22.1,0,.57365698,.13164453,.19349143,.05843289,.64386278,-.15963693
41.793012,13228.036,29.068,99.6,100,98.6559,6.8935657,22.1,0,.55303705,.39166656,-.0037378,-.10086848,.56924003,-.13904178
40.601993,14429.783,28.722,99.6,100,100.41919,6.8135536,21.7,0,.67779124,.35244173,-.00318532,-.23349679,.62351406,-.10482091
40.37221,15367.665,28.378,99.5,100,101.52696,6.9741078,21.7,0,.55626565,.34983486,-.04764416,-.30365184,.69216609,-.15952764
43.37346,14691.8,28.037,99.5,100,102.74005,7.2268419,20.8,0,.55570745,.31842047,.16133083,-.24712279,.66209501,-.07389604
42.883595,14885.746,27.698,99.5,100,103.20182,7.5804184,20.8,0,.52410603,.32743227,.11042176,-.20698024,.6410076,-.10394923
43.245677,15278.438,27.362,99.5,100,100.92663,7.2691716,20.8,0,.43952352,.27901235,.10862388,-.22503558,.53722835,-.13671292
42.29912,15442.827,27.029,99.5,100,99.52833,7.4173601,22.9,0,.38412046,.35088369,.13627203,-.23702694,.54453647,-.12377279
49.404573,1178.5633,80.004,65.4,13.2,49.30155,5.5234201,11.7,0,-.33061191,.03552848,-.62039244,-.03345185,-.34606603,-.56386912
44.069489,1195.9023,79.243,67.3,13.8,53.86393,6.1114932,11.7,0,-.45405793,-.10668147,-.52533329,-.15261911,-.33984238,-.56234682
